Company,Industry,Short Description (< 5 words),Title,Tag,Year,Link
Doordash,Delivery and mobility,Personalize recommendations on homepage,Homepage Recommendation with Exploitation and Exploration,recommender system,2022,https://doordash.engineering/2022/10/05/homepage-recommendation-with-exploitation-and-exploration/
Linkedin,Social platforms,Improve post search functionality,Improving Post Search at LinkedIn,search,2022,https://engineering.linkedin.com/blog/2022/improving-post-search-at-linkedin
Artefact,Tech,Evaluate success of past promotions,Forecasting something that never happened: how we estimated past promotions profitability,demand forecasting,2022,https://medium.com/artefact-engineering-and-data-science/forecasting-something-that-never-happened-how-we-estimated-past-promotions-profitability-5f55cfa1d477
Doordash,Delivery and mobility,Find high-value merchants,Building the Model Behind DoorDash’s Expansive Merchant Selection,"lead scoring,demand forecasting",2022,https://doordash.engineering/2022/04/19/building-merchant-selection/
Grammarly,Tech,Suggest text edits,"Under the Hood of the Grammarly Editor, Part Two: How Suggestions Work","product feature,NLP,generative AI",2022,https://www.grammarly.com/blog/engineering/how-suggestions-work-grammarly-editor/
Amazon,Media and streaming,Suggest music to listen to,The Amazon Music conversational recommender is hitting the right notes,"recommender system,product feature,voice interface",2022,https://www.amazon.science/latest-news/how-amazon-music-uses-recommendation-system-machine-learning
Snap,Social platforms,Rank relevant ads,Machine Learning for Snapchat Ad Ranking,ad ranking / targeting,2022,https://eng.snap.com/machine-learning-snap-ad-ranking
Instacart,E-commerce and retail,Autocomplete user searches in e-commerce,How Instacart Uses Machine Learning-Driven Autocomplete to Help People Fill Their Carts,"NLP,search,product feature",2022,https://tech.instacart.com/how-instacart-uses-machine-learning-driven-autocomplete-to-help-people-fill-their-carts-9bc56d22bafb
Zillow,E-commerce and retail,Select tags for product listings,Helping Home Shoppers Find a Home to Love Through Home Insights,"NLP,product feature,item classification",2022,https://www.zillow.com/tech/helping-shoppers-find-a-home-using-home-insights/
Netflix,Media and streaming,Detect account or content fraud,Machine Learning for Fraud Detection in Streaming Services,fraud detection,2022,https://netflixtechblog.medium.com/machine-learning-for-fraud-detection-in-streaming-services-b0b4ef3be3f6
Airbnb,"Travel,E-commerce and retail",Improve customer support,How AI Text Generation Models Are Reshaping Customer Support at Airbnb,"ops,customer support,generative AI",2022,https://medium.com/airbnb-engineering/how-ai-text-generation-models-are-reshaping-customer-support-at-airbnb-a851db0b4fa3
Linkedin,Social platforms,Predict churn and upsell products,The journey to build an explainable AI-driven recommendation system,"churn prediction,propensity to buy,lead scoring",2022,https://engineering.linkedin.com/blog/2022/the-journey-to-build-an-explainable-ai-driven-recommendation-sys
Autotrader,E-commerce and retail,Personalize automotive search results ,Real-Time Personalisation of Search Results with Auto Trader's Customer Data Platform,search,2022,https://engineering.autotrader.co.uk/2022/11/23/real-time-personalisation-of-search-results-with-auto-traders-customer-data-platform.html
Peloton,Tech,Recommend fitness training videos,How We Built: An Early-Stage Machine Learning Model for Recommendations,recommender system,2022,https://www.onepeloton.com/press/articles/how-we-built-machine-learning
Walmart,E-commerce and retail,Categorize e-commerce products,Semantic Label Representation with an Application on Multimodal Product Categorization,"item classification,NLP",2022,https://medium.com/walmartglobaltech/semantic-label-representation-with-an-application-on-multimodal-product-categorization-63d668b943b7
Doordash,Delivery and mobility,Search food and grocery items,3 Changes to Expand DoorDash’s Product Search Beyond Delivery,search,2022,https://doordash.engineering/2022/05/10/3-changes-to-expand-doordashs-product-search/
Faire,E-commerce and retail,Rank e-commerce items (feature store),Real-time ranking at Faire part 2: the feature store,search,2022,https://craft.faire.com/real-time-ranking-at-faire-part-2-the-feature-store-3f1013d3fe5d
New York Times,Media and streaming,Personalize paywall limits,How The New York Times Uses Machine Learning To Make Its Paywall Smarter,"causality,content personalization,product feature",2022,https://open.nytimes.com/how-the-new-york-times-uses-machine-learning-to-make-its-paywall-smarter-e5771d5f46f8
Linkedin,Social platforms,Predict ad click-through rate,Challenges and practical lessons from building a deep-learning-based ads CTR prediction model,ad ranking / targeting,2022,https://engineering.linkedin.com/blog/2022/challenges-and-practical-lessons-from-building-a-deep-learning-b
Zillow,E-commerce and retail,Identify customers that are likely to convert,"Identifying High-Intent Buyers
",propensity to buy,2022,https://www.zillow.com/tech/identifying-high-intent-buyers/
Netflix,Media and streaming,Recommend content to view,Reinforcement Learning for Budget Constrained Recommendations,recommender system,2022,https://netflixtechblog.com/reinforcement-learning-for-budget-constrained-recommendations-6cbc5263a32a
Walmart,E-commerce and retail,Forecast anomalies in refrigeration ,Forecast Anomalies in Refrigeration with PySpark & Sensor-data,"ops,predictive maintenance",2022,https://medium.com/walmartglobaltech/forecast-anomalies-in-refrigeration-with-pyspark-sensor-data-195f23ae24e2
Stitch Fix,E-commerce and retail,Recommend e-commerce items,Client Time Series Model: a Multi-Target Recommender System based on Temporally-Masked Encoders,recommender system,2022,https://multithreaded.stitchfix.com/blog/2022/10/14/client-time-series-model/
Gojek,Delivery and mobility,Predict estimated time of delivery,How We Estimate Food Debarkation Time With ‘Tensoba’,ETA prediction,2022,https://medium.com/gojekengineering/how-we-estimate-food-debarkation-time-with-tensoba-da05674cb758
Zillow,E-commerce and retail,Extract text features,Incorporating Listing Descriptions into the Zestimate,"NLP,product feature",2022,https://www.zillow.com/tech/incorporating-listing-descriptions-into-the-zestimate/
Etsy,E-commerce and retail,Rank marketplace search results,Deep Learning for Search Ranking at Etsy,search,2022,https://www.etsy.com/uk/codeascraft/deep-learning-for-search-ranking-at-etsy
Walmart,E-commerce and retail,Curate e-commerce product recommendations,Scaling Product Recommendations using Basket Analysis- Part 1,recommender system,2022,https://medium.com/walmartglobaltech/scaling-product-recommendations-using-basket-analysis-part-1-8434d4f8756f
Lyft,Delivery and mobility,Optimize trip price,Pricing at Lyft,pricing,2022,https://eng.lyft.com/pricing-at-lyft-8a4022065f8b
Grammarly,Tech,Correct grammatical errors,Innovating the Basics: Achieving Superior Precision and Recall in Grammatical Error Correction,"NLP,product feature",2022,https://www.grammarly.com/blog/engineering/innovating-the-basics/
Twitter,Social platforms,Recommend accounts to follow,Model-based candidate generation for account recommendations,recommender system,2022,https://blog.twitter.com/engineering/en_us/topics/insights/2022/model-based-candidate-generation-for-account-recommendations
"NLP, voice interface, chatbot","Travel,E-commerce and retail",Improve customer travel experience,Intelligent Automation Platform: Empowering Conversational AI and Beyond at Airbnb,"NLP,voice interface",2022,https://medium.com/airbnb-engineering/intelligent-automation-platform-empowering-conversational-ai-and-beyond-at-airbnb-869c44833ff2
Swiggy,Delivery and mobility,Flag incorrectly captured locations,Using deep learning to detect dissonance between address text and location,"product feature,ops",2022,https://bytes.swiggy.com/using-deep-learning-to-detect-dissonance-between-address-text-and-location-4b228bc2c3fb
Uber,Delivery and mobility,Verify documents,Uber’s Real-Time Document Check,"product feature,fraud detection,CV",2022,https://www.uber.com/en-GB/blog/ubers-real-time-document-check/
Pinterest,Social platforms,Recommend bids for advertizers,Advertiser Recommendation Systems at Pinterest,"recommender system,ad ranking / targeting",2021,https://medium.com/pinterest-engineering/advertiser-recommendation-systems-at-pinterest-ccb255fbde20
Grubhub,Delivery and mobility,Forecast volume order,“I See Tacos In Your Future”: Order Volume Forecasting at Grubhub,demand forecasting,2021,https://bytes.grubhub.com/i-see-tacos-in-your-future-order-volume-forecasting-at-grubhub-44d47ad08d5b
Slack,Tech,Detect spam invites,Blocking Slack Invite Spam With Machine Learning,spam / content moderation,2021,https://slack.engineering/blocking-slack-invite-spam-with-machine-learning/
Faire,E-commerce and retail,Search and navigate marketplace items,Building Faire’s new marketplace ranking infrastructure,search,2021,https://craft.faire.com/building-faires-new-marketplace-ranking-infrastructure-a53bf938aba0
Doordash,E-commerce and retail,Predict delivery supply and demand,Managing Supply and Demand Balance Through Machine Learning,demand forecasting,2021,https://doordash.engineering/2021/06/29/managing-supply-and-demand-balance-through-machine-learning/
OLX,E-commerce and retail,Recommend e-commerce items,Item2Vec: Neural Item Embeddings to enhance recommendations,recommender system,2021,https://tech.olx.com/item2vec-neural-item-embeddings-to-enhance-recommendations-1fd948a6f293
Dropbox,Tech,Search by image content ,How image search works at Dropbox,"search,CV",2021,https://dropbox.tech/machine-learning/how-image-search-works-at-dropbox
Scribd,Media and streaming,Extract metadata from documents,Information Extraction at Scribd,NLP,2021,https://tech.scribd.com/blog/2021/information-extraction-at-scribd.html
Microsoft,Tech,Rank customer support cases,ML and customer support (Part 1): Using Machine Learning to enable world-class customer support,"customer support,ops",2021,https://medium.com/data-science-at-microsoft/ml-and-customer-support-part-1-using-machine-learning-to-enable-world-class-customer-support-c90b3b02f6a3
Stitch Fix,E-commerce and retail,Recommend e-commerce inventory,"Algorithm-Assisted Inventory Curation
",recommender system,2021,https://multithreaded.stitchfix.com/blog/2021/05/12/algorithm-assisted-inventory-curation/
Twitter,Social platforms,Forecast resource usage and cost,Forecasting SQL query resource usage with machine learning,ops,2021,https://blog.twitter.com/engineering/en_us/topics/insights/2021/forecasting-sql-query-resource-usage-with-machine-learning
Google,Tech,Suggest past photos to look at,A snapshot of AI-powered reminiscing in Google Photos,"CV,product feature",2021,https://medium.com/people-ai-research/a-snapshot-of-ai-powered-reminiscing-in-google-photos-5a05d2f2aa46
Uber,Delivery and mobility,Identify cash intermediaries ,Applying Machine Learning in Internal Audit with Sparsely Labeled Data,ops,2021,https://www.uber.com/en-GB/blog/ml-internal-audit/
Microsoft,Tech,Cluster customer support issues by similarity,ML and customer support (Part 2): Leveraging topic modeling to identify the top investment areas in support cases,"NLP,customer support,ops",2021,https://medium.com/data-science-at-microsoft/ml-and-customer-support-part-2-leveraging-topic-modeling-to-identify-the-top-investment-areas-in-f0348382c251
Gousto,Delivery and mobility,Recommend food items and recipes,Gousto R-series vol 1: Three tales of the Rouxcommender family,recommender system,2021,https://medium.com/gousto-engineering-techbrunch/gousto-r-series-vol-1-three-tales-of-the-rouxcommender-family-a3555a93edea
Apple,Tech,Recognize people in photos,Recognizing People in Photos Through Private On-Device Machine Learning,"CV,product feature",2021,https://machinelearning.apple.com/research/recognizing-people-photos
Pinterest,Social platforms,Find lookalike users for ad targeting,The machine learning behind delivering relevant ads,ad ranking / targeting,2021,https://medium.com/pinterest-engineering/the-machine-learning-behind-delivering-relevant-ads-8987fc5ba1c0
Pinterest,Social platforms,Detect spam users,Fighting Spam using Clustering and Automated Rule Creation,spam / content moderation,2021,https://medium.com/pinterest-engineering/fighting-spam-using-clustering-and-automated-rule-creation-1c01d8c11a05
PayPal,Fintech and banking,Detect payment fraud ,Deploying Large-scale Fraud Detection Machine Learning Models at PayPal,fraud detection,2021,https://medium.com/paypal-tech/machine-learning-model-ci-cd-and-shadow-platform-8c4f44998c78
Datto,Tech,Predict hard drive failures,Predicting Hard Drive Failure with Machine Learning,"ops,product feature",2021,https://datto.engineering/post/predicting-hard-drive-failure-with-machine-learning
Bumble,Social platforms,Detect rude messages,Multilingual message content moderation at scale (part 2),"spam / content moderation,NLP",2021,https://medium.com/bumble-tech/multilingual-message-content-moderation-at-scale-7ea562e29e25
Nextdoor,Social platforms,Send relevant and timely updates,Nextdoor Notifications: How we use ML to keep neighbors informed,content personalization,2021,https://engblog.nextdoor.com/nextdoor-notifications-how-we-use-ml-to-keep-neighbors-informed-57d8f707aab0?gi=85c7ad8c8658
Dropbox,Tech,Identify best time for renewal charge,Optimizing payments with machine learning,ops,2021,https://dropbox.tech/machine-learning/optimizing-payments-with-machine-learning
Swiggy,Delivery and mobility,Rank restaurants in search,Learning To Rank Restaurants,search,2021,https://bytes.swiggy.com/learning-to-rank-restaurants-c6a69ba4b330
Brex,Fintech and banking,Classify bank transactions,How We Built a (Mostly) Automated System to Solve Credit Card Merchant Classification,item classification,2021,https://medium.com/brexeng/how-we-built-a-mostly-automated-system-to-solve-credit-card-merchant-classification-f9108029e59b
Grammarly,Tech,Capture what readers pay attention to,ATTN: How Grammarly’s NLP/ML Team Figured Out Where Readers Focus in an Email,"NLP,product feature",2021,https://www.grammarly.com/blog/engineering/readers-attention/
Doordash,Delivery and mobility,Extract information from images,How DoorDash Quickly Spins Up Multiple Image Recognition Use Cases,"CV,ops",2021,https://doordash.engineering/2021/11/03/how-doordash-quickly-spins-up-multiple-image-recognition-use-cases/
Apple,Tech,Identify best user experience,Interpretable Adaptive Optimization,content personalization,2021,https://machinelearning.apple.com/research/interpretable-adaptive-optimization
Airbnb,"Travel,E-commerce and retail",Data privacy and security,"Automating Data Protection at Scale, Part 2",ops,2021,https://medium.com/airbnb-engineering/automating-data-protection-at-scale-part-2-c2b8d2068216
Capital One,Fintech and banking,Identify suspicious account activity,How Machine Learning Can Help Fight Money Laundering,fraud detection,2021,https://www.capitalone.com/tech/machine-learning/how-machine-learning-can-help-fight-money-laundering/
Wayfair,E-commerce and retail,Assign color names to products,From RGB to Descriptive Color Names: Wayfair's in-house color algorithms to improve customer shopping experience.,item classification,2021,https://www.aboutwayfair.com/careers/tech-blog/from-rgb-to-descriptive-color-names-wayfairs-in-house-color-algorithms-to-improve-customer-shopping-experience
Capital One,Fintech and banking,Automate incident management ,"Automated detection, diagnosis & remediation of app failure",ops,2021,https://www.capitalone.com/tech/machine-learning/automated-detection-diagnosis-remediation-of-application-failure/
Pinterest,Social platforms,Detect policy-violating comments,How Pinterest powers a healthy comment ecosystem with machine learning,"NLP,spam / content moderation",2021,https://medium.com/pinterest-engineering/how-pinterest-powers-a-healthy-comment-ecosystem-with-machine-learning-9e5c3414c8ad
Spotify,Media and streaming,"Personalize homepage content (podcasts, playlist, music)",The Rise (and Lessons Learned) of ML Models to Personalize Content on Home (Part I),recommender system,2021,https://engineering.atspotify.com/2021/11/the-rise-and-lessons-learned-of-ml-models-to-personalize-content-on-home-part-i/
Stitch Fix,E-commerce and retail,Recommend looks,Stitching together spaces for query-based recommendations,"recommender system,product feature,CV",2021,https://multithreaded.stitchfix.com/blog/2021/08/13/stitching-together-spaces-for-query-based-recommendations/
Ocado ,E-commerce and retail,Forecast e-commerce grocery demand,Finding the sweet spot,demand forecasting,2021,https://careers.ocadogroup.com/blogs/careers-blogs/our-technologies/finding-the-sweet-spot
Walmart,E-commerce and retail,Categorize e-commerce products,Deep Learning: Product Categorization and Shelving,item classification,2021,https://medium.com/walmartglobaltech/deep-learning-product-categorization-and-shelving-630571e81e96
Walmart,E-commerce and retail,Recommend learning content,"Mozrt, a Deep Learning Recommendation System Empowering Walmart Store Associates with a Personalized Learning Experience",recommender systen,2021,https://medium.com/walmartglobaltech/mozrt-a-deep-learning-recommendation-system-empowering-walmart-store-associates-with-a-5d42c08d88da
Walmart,E-commerce and retail,Identify refrigeration defrost,Predicting Defrost in Refrigeration Cases at Walmart using Fourier Transform,"ops,predictive maintenance",2021,https://medium.com/walmartglobaltech/predicting-defrost-in-refrigeration-cases-at-walmart-using-fourier-transform-e64c0c59323
New York Times,Media and streaming,Recommend content to read,Machine Learning and Reader Input Help Us Recommend Articles,recommender system,2021,https://open.nytimes.com/we-recommend-articles-with-a-little-help-from-our-friends-machine-learning-and-reader-input-e17e85d6cf04
Mercado Libre,E-commerce and retail,Forecast demand for e-commerce items,Marketplace Forecasting: Sales or Demand? Why not both? Let’s find out!,demand forecasting,2021,https://medium.com/mercadolibre-tech/global-time-series-forecasting-models-for-item-level-demand-and-sales-forecasts-in-our-marketplace-aee2956957ae
Swiggy,Delivery and mobility,Rank food dishes in search,Using Deep Learning for Ranking in Dish Search,"recommender system,search",2021,https://bytes.swiggy.com/using-deep-learning-for-ranking-in-dish-search-4df2772dddce
PayPal,Fintech and banking,Recommend financial products,Cross-Selling Optimization Using Deep Learning,propensity to buy,2021,https://medium.com/paypal-tech/a-deep-learning-based-approach-to-optimizing-actions-e1ae9d1df152
Wayfair,E-commerce and retail,Automate ads placement and bidding,Evolution of Ads Bidding at Wayfair,ad ranking / targeting,2021,https://www.aboutwayfair.com/careers/tech-blog/evolution-of-ads-bidding-at-wayfair
